City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Vaini,-21.2,-175.2,80.76,89,75,6.91,TO,1636492996
Sulina,45.1559,29.6536,46.26,63,9,18.23,RO,1636492996
San Cristobal,7.7669,-72.225,75.38,78,76,0.4,VE,1636492954
Albany,42.6001,-73.9662,60.28,64,9,1.01,US,1636492514
Bredasdorp,-34.5322,20.0403,52.92,76,65,3.44,ZA,1636492734
Kuching,1.55,110.3333,75.42,100,40,2.3,MY,1636492911
Capitão Poço,-1.7464,-47.0594,75.88,92,100,3.96,BR,1636492999
Mataura,-46.1927,168.8643,61.52,66,100,1.12,NZ,1636492959
Nadym,65.5333,72.5167,15.91,91,100,11.77,RU,1636493000
Upernavik,72.7868,-56.1549,14.16,87,100,12.57,GL,1636493000
Tuktoyaktuk,69.4541,-133.0374,12.2,92,75,10.36,CA,1636492947
Bengkulu,-3.8004,102.2655,76.78,88,100,5.17,ID,1636493001
Castro,-24.7911,-50.0119,69.21,76,1,4.92,BR,1636493002
Kharagpur,22.3333,87.3333,66.74,67,66,4.83,IN,1636493002
Avarua,-21.2078,-159.775,75.25,78,90,10.36,CK,1636492953
Rikitea,-23.1203,-134.9692,74.95,78,89,20.69,PF,1636492965
Port Elizabeth,-33.918,25.5701,55.69,94,18,3.44,ZA,1636492870
Punta Arenas,-53.15,-70.9167,71.71,15,0,20.71,CL,1636492870
Hilo,19.7297,-155.09,82.26,66,1,6.91,US,1636492969
Carnarvon,-24.8667,113.6333,62.67,77,4,10.36,AU,1636492952
Bilibino,68.0546,166.4372,3.67,98,100,1.19,RU,1636493005
Richards Bay,-28.783,32.0377,66.76,75,94,6.33,ZA,1636492891
Kloulklubed,7.0419,134.2556,79.3,79,100,16.02,PW,1636493006
Nohfelden,49.5869,7.1428,38.98,90,25,4.52,DE,1636493006
Esperance,-33.8667,121.9,57.16,58,100,14.83,AU,1636492969
Pimentel,-6.8367,-79.9342,71.89,64,0,20.71,PE,1636493008
Hong Kong,22.2855,114.1577,66.33,40,34,8.99,HK,1636492455
Saint George,37.1041,-113.5841,73.87,30,1,3.0,US,1636493009
Qaanaaq,77.484,-69.3632,0.7,67,7,8.9,GL,1636492974
Toora-Khem,52.4675,96.11,4.1,98,49,0.89,RU,1636493010
Atuona,-9.8,-139.0333,78.51,76,2,16.98,PF,1636492950
Foam Lake,51.65,-103.5343,42.82,33,39,6.44,CA,1636493011
Bodden Town,19.2833,-81.25,82.99,70,20,10.0,KY,1636493012
Cortes,41.9395,-1.4396,50.61,66,0,8.77,ES,1636493012
Saint Paul Harbor,57.79,-152.4072,31.64,74,40,2.3,US,1636493013
Clyde River,70.4692,-68.5914,2.77,79,24,8.41,CA,1636493013
Oktyabr'skoye,43.0645,44.7417,41.14,93,89,2.24,RU,1636493014
Ushuaia,-54.8,-68.3,67.66,34,75,19.57,AR,1636492739
Pedersore,63.65,22.6833,39.88,100,100,17.02,FI,1636493015
Thompson,55.7435,-97.8558,32.16,69,90,16.11,CA,1636492929
La Ronge,55.1001,-105.2842,28.65,59,40,2.3,CA,1636492984
Kununurra,-15.7667,128.7333,78.78,89,5,8.05,AU,1636493016
Hobart,-42.8794,147.3294,54.1,96,75,5.75,AU,1636492783
Suntar,62.1444,117.6319,25.21,86,100,9.53,RU,1636493017
Verāval,20.9,70.3667,78.01,40,100,11.14,IN,1636493018
Ketchikan,55.3422,-131.6461,36.07,93,90,4.61,US,1636493019
Dikson,73.5069,80.5464,-2.36,97,25,0.6,RU,1636493019
Tazovsky,67.4667,78.7,-6.95,100,98,2.13,RU,1636493020
East London,-33.0153,27.9116,60.67,82,0,6.33,ZA,1636493021
Tiksi,71.6872,128.8694,8.1,93,100,4.56,RU,1636493021
Petropavlovsk-Kamchatskiy,53.0452,158.6483,25.39,63,75,6.71,RU,1636492819
Kahului,20.8947,-156.47,84.22,61,20,8.05,US,1636492779
Cherskiy,68.75,161.3,-4.27,100,89,3.89,RU,1636493023
Coyhaique,-45.5752,-72.0662,74.01,31,20,10.36,CL,1636492889
Narsaq,60.9167,-46.05,17.82,76,5,5.28,GL,1636493024
Khatanga,71.9667,102.5,2.43,95,100,10.92,RU,1636493026
Rzeszów,50.0413,21.999,39.15,92,20,4.61,PL,1636493027
Jamestown,42.097,-79.2353,63.72,77,90,1.99,US,1636492643
Manama,26.2154,50.5832,76.98,54,20,6.91,BH,1636492874
Lüderitz,-26.6481,15.1594,63.41,57,0,16.8,NA,1636493028
Nikolskoye,59.7035,30.7861,34.88,78,100,9.19,RU,1636493028
Stokmarknes,68.5646,14.9108,42.78,75,75,24.16,NO,1636493029
Kruisfontein,-34.0033,24.7314,54.46,79,41,2.35,ZA,1636493030
Cabo San Lucas,22.8909,-109.9124,88.05,67,100,4.0,MX,1636493031
Aklavik,68.2191,-135.0107,14.83,97,92,3.58,CA,1636493031
Los Llanos de Aridane,28.6585,-17.9182,65.95,81,75,3.0,ES,1636492958
Maniitsoq,65.4167,-52.9,16.57,69,79,5.73,GL,1636493032
San Andrés,12.5847,-81.7006,77.02,88,90,4.61,CO,1636493033
Novoil'insk,51.6829,108.7143,22.78,89,16,5.64,RU,1636493033
Praia,14.9215,-23.5087,77.54,69,40,20.71,CV,1636493034
Kajaani,64.2273,27.7285,32.05,93,90,12.66,FI,1636493035
San Rafael,-34.6177,-68.3301,72.64,47,79,7.81,AR,1636492993
Port Hedland,-20.3167,118.5667,66.25,72,0,11.5,AU,1636493036
Kaitangata,-46.2817,169.8464,63.93,73,100,2.64,NZ,1636493036
Kirkuk,35.4681,44.3922,62.29,16,0,2.64,IQ,1636493037
Sulangan,11.1373,123.7228,82.54,78,99,11.79,PH,1636493038
Yellowknife,62.456,-114.3525,23.41,100,90,11.5,CA,1636492789
Busselton,-33.65,115.3333,47.05,80,0,8.59,AU,1636492936
Guerrero Negro,27.9769,-114.0611,70.34,60,0,18.52,MX,1636493039
Comodoro Rivadavia,-45.8667,-67.5,82.26,23,0,21.85,AR,1636493031
Cidreira,-30.1811,-50.2056,66.9,66,4,9.44,BR,1636493040
Arraial do Cabo,-22.9661,-42.0278,71.56,78,90,9.22,BR,1636493041
Lincoln,40.8,-96.667,62.98,38,1,1.01,US,1636493003
